X,Y,numReview,avgReview,num,age,sex,job,zip
0.61236,0.5205,0.35146,0.62717,1,24,M,technician,85711
0.058807,0.49899,0.058577,0.6566,2,53,F,other,94043
0.017277,0.48663,0.04742,0.38617,3,23,M,writer,32067
0.027146,0.49256,0.0055788,0.84124,4,24,M,technician,43537
0.3241,0.54986,0.21618,0.40926,5,33,F,other,15213
0.49053,0.14726,0.26639,0.63451,6,42,M,executive,98101
0.91539,0.28639,0.53417,0.73227,7,57,M,administrator,91344
0.19486,0.52723,0.054393,0.68233,8,36,M,administrator,5201
0.050044,0.44612,0.0027894,0.8233,9,29,M,student,1002
0.49933,0.17436,0.22873,0.80369,10,53,M,lawyer,90703
0.35472,0.47764,0.22455,0.58388,11,39,F,other,30329
0.20745,0.48564,0.043236,0.85866,12,28,F,other,6405
0.86422,0.39051,0.85914,0.47534,13,47,M,educator,29206
0.27347,0.38103,0.10879,0.76974,14,45,M,scientist,55106
0.077136,0.56911,0.11715,0.40947,15,49,F,educator,97301
0.48267,0.46059,0.16736,0.83983,16,21,M,entertainment,10309
0.043019,0.49058,0.011158,0.45706,17,30,M,programmer,6355
0.65805,0.093368,0.35844,0.70728,18,35,F,other,37212
0.047082,0.46002,0,0.60932,19,40,M,librarian,2138
0.12744,0.53425,0.039052,0.47732,20,42,F,homemaker,95660
0.13704,0.56987,0.22176,0.3489,21,26,M,writer,30068
0.32275,0.56768,0.15063,0.55057,22,25,M,writer,40206
0.40386,0.41639,0.18271,0.63471,23,30,F,artist,48197
0.21887,0.48762,0.066946,0.83834,24,21,F,artist,94533
0.249,0.43032,0.080893,0.75773,25,39,M,engineer,55107
0.10858,0.62758,0.12134,0.42988,26,49,M,engineer,21044
0.036101,0.49676,0.0069735,0.51754,27,40,F,librarian,30030
0.2174,0.52004,0.082287,0.6601,28,32,M,writer,55369
0.041957,0.44849,0.019526,0.63806,29,41,M,programmer,94043
0.081767,0.49891,0.032078,0.6737,30,7,M,student,55436
0.057523,0.38646,0.022315,0.71788,31,24,M,artist,10003
0.065627,0.55957,0.029289,0.54036,32,28,F,student,78741
0.005592,0.50477,0.0055788,0.6562,33,23,M,student,27510
0.0031072,0.4622,0,0.75735,34,38,F,administrator,42141
0.003238,0.48411,0.0069735,0.44648,35,20,F,homemaker,42459
0.0056958,0.47254,0,0.68334,36,19,F,student,93117
0.17175,0.60219,0.051604,0.63867,37,23,M,student,55105
0.23941,0.62367,0.14086,0.65936,38,28,F,other,54467
0.0068864,0.4791,0.0027894,0.67526,39,41,M,entertainment,1040
0.0064759,0.472,0.020921,0.41265,40,38,M,scientist,27514
0.1871,0.40597,0.04463,0.67423,41,33,M,engineer,80525
0.50249,0.63746,0.22734,0.66166,42,30,M,administrator,17870
0.49176,0.65138,0.28033,0.65681,43,29,F,librarian,20854
0.43157,0.54238,0.18271,0.63863,44,26,M,technician,46260
0.08521,0.57248,0.039052,0.62536,45,29,M,programmer,50233
0.031014,0.49859,0.0097629,0.77545,46,27,F,marketing,46538
0.0045534,0.45519,0.0069735,0.63597,47,53,M,marketing,7102
0.19183,0.35153,0.064156,0.67975,48,45,M,administrator,12550
0.27692,0.50326,0.27197,0.35284,49,23,F,student,76111
0.023496,0.47291,0.0055788,0.60685,50,21,M,writer,52245
0.091153,0.45423,0.0041841,0.61383,51,28,M,educator,16509
0.12528,0.52388,0.050209,0.82185,52,18,F,student,55105
0.086114,0.52793,0.011158,0.68968,53,26,M,programmer,55414
0.088075,0.62864,0.062762,0.65145,54,22,M,executive,66315
0.070994,0.51264,0.0013947,0.53107,55,37,M,programmer,1331
0.48221,0.72808,0.23291,0.63647,56,25,M,librarian,46260
0.19022,0.67401,0.11994,0.59452,57,16,M,none,84010
0.37694,0.39732,0.18689,0.69449,58,27,M,programmer,52246
0.91368,0.32419,0.50488,0.72317,59,49,M,educator,8403
0.56451,0.2165,0.2622,0.76817,60,50,M,healthcare,6472
0.0045954,0.48219,0.0013947,0.43238,61,36,M,engineer,30040
0.50018,0.51834,0.29568,0.53581,62,27,F,administrator,97214
0.084106,0.5334,0.10181,0.4815,63,31,M,marketing,75240
0.54646,0.49443,0.25105,0.61968,64,32,M,educator,43202
0.25181,0.4572,0.083682,0.72405,65,51,F,educator,48118
0.066012,0.57438,0.025105,0.58673,66,23,M,student,80521
0.060046,0.54903,0.013947,0.67347,67,17,M,student,60402
0.058245,0.51814,0.019526,0.45519,68,19,M,student,22904
0.14353,0.54661,0.062762,0.697,69,24,M,engineer,55337
0.34246,0.55452,0.15481,0.58435,70,27,M,engineer,60067
0.11277,0.4156,0.025105,0.68022,71,39,M,scientist,98034
0.40631,0.43145,0.16318,0.68852,72,48,F,administrator,73034
0.18581,0.37008,0.064156,0.6618,73,24,M,student,41850
0.033684,0.50533,0.026499,0.63627,74,39,M,scientist,T8H1N
0.12053,0.59159,0.082287,0.52893,75,24,M,entertainment,8816
0.16407,0.40907,0.086471,0.61257,76,20,M,student,2215
0.24663,0.43017,0.072524,0.62741,77,30,M,technician,29379
0.020026,0.49395,0.0013947,0.55927,78,26,M,administrator,61801
0.057345,0.45676,0.048815,0.74255,79,39,F,administrator,3755
0.085654,0.41877,0.012552,0.67109,80,34,F,administrator,52241
0.10731,0.55546,0.052999,0.53326,81,21,M,student,21218
0.35266,0.40141,0.20642,0.46763,82,50,M,programmer,22902
0.30575,0.69681,0.18828,0.57064,83,40,M,other,44133
0.14657,0.57314,0.066946,0.69901,84,32,M,executive,55369
0.6132,0.17579,0.37378,0.60582,85,51,M,educator,20003
0.0046941,0.46585,0.0041841,0.60095,86,26,M,administrator,46005
0.51413,0.60473,0.26639,0.68081,87,47,M,administrator,89503
0.00394,0.4582,0.0013947,0.72845,88,49,F,librarian,11701
0.16333,0.51027,0.078103,0.75424,89,43,F,administrator,68106
0.62544,0.024851,0.39052,0.80867,90,60,M,educator,78155
0.28529,0.38967,0.10879,0.70932,91,55,M,marketing,1913
0.69825,0.7459,0.51325,0.51897,92,32,M,entertainment,80525
0.035965,0.49642,0,0.55011,93,48,M,executive,23112
0.83396,0.57107,0.52999,0.64115,94,26,M,student,71457
0.63608,0.51091,0.35983,0.57002,95,31,M,administrator,10707
0.23451,0.40079,0.050209,0.82185,96,25,F,artist,75206
0.25474,0.394,0.059972,0.78955,97,43,M,artist,98006
0.069497,0.41135,0.0097629,0.62193,98,49,F,executive,90291
0.25507,0.70922,0.16179,0.60976,99,20,M,student,63129
0.0061349,0.48953,0.054393,0.46656,100,36,M,executive,90254
0.081228,0.62441,0.065551,0.41555,101,15,M,student,5146
0.33162,0.61249,0.27336,0.33272,102,38,M,programmer,30220
0.084112,0.51904,0.012552,0.63025,103,26,M,student,55108
0.084928,0.57985,0.12692,0.34779,104,27,M,student,55108
0.0071984,0.47172,0.0041841,0.56234,105,24,M,engineer,94043
0.16847,0.42789,0.061367,0.67316,106,61,M,retired,55125
0.0064135,0.46439,0.0027894,0.44648,107,39,M,scientist,60466
0.061971,0.49678,0.018131,0.61695,108,44,M,educator,63130
0.53633,0.81927,0.29847,0.5768,109,29,M,other,55423
0.19984,0.61895,0.1576,0.45984,110,19,M,student,77840
0.004946,0.45825,0.0055788,0.60685,111,57,M,engineer,90630
0.0030414,0.49093,0.036262,0.65244,112,30,M,salesman,60613
0.04004,0.52437,0.043236,0.66128,113,47,M,executive,95032
0.16285,0.37785,0.039052,0.62536,114,27,M,programmer,75013
0.25791,0.45267,0.10042,0.72324,115,31,M,engineer,17110
0.12899,0.45548,0.17155,0.44855,116,40,M,healthcare,97232
0.21082,0.66092,0.09205,0.71845,117,20,M,student,16125
0.22827,0.41643,0.07113,0.93854,118,21,M,administrator,90210
0.3302,0.66842,0.22455,0.72783,119,32,M,programmer,67401
0.052495,0.52873,0.0083682,0.61729,120,47,F,other,6260
0.16455,0.46253,0.075314,0.62652,121,54,M,librarian,99603
0.15153,0.36541,0.057183,0.7377,122,32,F,writer,22206
0.14251,0.32532,0.04742,0.69869,123,48,F,artist,20008
0.094249,0.48093,0.0055788,0.59452,124,34,M,student,60615
0.39894,0.48025,0.22594,0.57662,125,30,M,lawyer,22202
0.0048054,0.49018,0.034868,0.60439,126,28,F,lawyer,20015
0.041625,0.51944,0.0041841,0.78117,127,33,M,none,73439
0.45047,0.48615,0.22873,0.64279,128,24,F,marketing,20009
0.0042226,0.45902,0.013947,0.32806,129,36,F,marketing,7039
0.64256,1,0.46444,0.73836,130,20,M,none,60115
0.03794,0.44183,0.013947,0.78203,131,59,F,administrator,15237
0.055648,0.42724,0.0027894,0.67526,132,24,M,other,94612
0.0075686,0.47621,0.0083682,0.50342,133,53,M,engineer,78602
0.014414,0.50103,0.0069735,0.63597,134,31,M,programmer,80236
0.12341,0.49476,0.048815,0.55953,135,23,M,student,38401
0.08151,0.44381,0.020921,0.84406,136,51,M,other,97365
0.13475,0.61221,0.037657,0.83704,137,50,M,educator,84408
0.16603,0.37262,0.043236,0.82382,138,46,M,doctor,53211
0.027966,0.46712,0.0055788,0.74255,139,20,M,student,8904
0.0054593,0.46573,0.0013947,0.57337,140,30,F,student,32250
0.1101,0.71312,0.12134,0.57376,141,49,M,programmer,36117
0.06944,0.46984,0.018131,0.63489,142,13,M,other,48118
0.0059188,0.49281,0,0.71294,143,42,M,technician,8832
0.43088,0.47635,0.25941,0.64626,144,53,M,programmer,20910
0.46318,0.78648,0.41283,0.5458,145,31,M,entertainment,V3N4P
0.0060099,0.46763,0.012552,0.63025,146,45,M,artist,83814
0.0046409,0.45212,0,0.80176,147,40,F,librarian,2143
0.22417,0.42681,0.062762,0.74255,148,33,M,engineer,97006
0.0049591,0.46058,0.022315,0.41359,149,35,F,marketing,17325
0.062148,0.50635,0.016736,0.69629,150,20,F,artist,2139
0.7368,0.18465,0.40028,0.74159,151,38,F,administrator,48103
0.25702,0.5939,0.11994,0.83752,152,33,F,educator,68767
0.065278,0.46883,0.0041841,0.43361,153,25,M,student,60641
